kandidat_id,disability_type,skills,functional_profile
K133,Gangguan Daksa Kaki,"Email Marketing, Facebook Ads, TikTok Ads, Analitik Media Sosial, Copywriting","Mengalami kelumpuhan kaki akibat polio dan menggunakan kursi roda listrik untuk mobilitas. Lulusan S1 Akuntansi, sangat kompeten dalam platform email marketing untuk pekerjaan pemasaran digital. Bekerja paling efektif di kantor dengan fasilitas aksesibel atau secara remote penuh."
K134,Gangguan Penglihatan (Tunanetra),"Bahasa Inggris, Lokalisasi, SDL Trados, Bahasa Mandarin, Penerjemahan",Lulusan D3 Akuntansi yang bekerja sepenuhnya menggunakan screen reader NVDA dan JAWS untuk mengoperasikan komputer dalam pekerjaan penerjemahan dan lokalisasi. Sangat terampil dalam SDL Trados dan CAT tools yang diakses melalui antarmuka berbasis keyboard dan teknologi bantu. Membutuhkan perangkat lunak aksesibilitas yang terpasang di workstation dan dokumentasi yang tersedia dalam format digital yang dapat dibaca screen reader.
K135,Acquired Brain Injury (ABI),"HRIS, Pelatihan SDM, Manajemen Kinerja","Cedera otak yang diperoleh akibat infeksi meningitis yang memengaruhi kecepatan pemrosesan informasi. Latar belakang S1 Hubungan Internasional, terampil dalam platform rekrutmen digital untuk bidang manajemen sumber daya manusia. Membutuhkan lebih banyak waktu untuk menyelesaikan tugas kompleks, namun menghasilkan output yang akurat dan berkualitas tinggi."
K136,Gangguan Pendengaran / Tuli (Tunarungu),"Manajemen Jadwal, Google Workspace, Surat Menyurat, Notulensi, Administrasi Perkantoran","Tunarungu total sejak lahir dan berkomunikasi menggunakan Bahasa Isyarat Indonesia (BISINDO) serta teks tertulis. Lulusan D3 Sekretaris yang sangat terampil dalam sistem pengarsipan digital untuk pekerjaan administrasi perkantoran. Pekerjaan berbasis teks, email, dan platform pesan sangat sesuai; membutuhkan interpreter BISINDO untuk rapat formal jika diperlukan."
K137,Gangguan Penglihatan (Tunanetra),"Editing Video, SEO Writing, Copywriting, Penulisan Konten, YouTube",Lulusan S1 Ekonomi yang bekerja sepenuhnya menggunakan screen reader NVDA dan JAWS untuk mengoperasikan komputer dalam pekerjaan pemasaran digital. Sangat terampil dalam Google Ads dan Meta Ads yang diakses melalui antarmuka berbasis keyboard dan teknologi bantu. Membutuhkan perangkat lunak aksesibilitas yang terpasang di workstation dan dokumentasi yang tersedia dalam format digital yang dapat dibaca screen reader.
K138,Gangguan Pendengaran / Tuli (Tunarungu),"Linux, Kubernetes, AWS, Terraform, Docker, Jenkins","Mengalami ketulian akibat infeksi pada usia dini dan kini sangat efektif bekerja melalui komunikasi tertulis, email, dan pesan chat. Lulus dari S1 Teknik Informatika dan ahli di bidang pengembangan backend dan arsitektur sistem menggunakan Spring Boot dan Java. Mampu berpartisipasi dalam rapat melalui teks atau dengan dukungan subtitle otomatis."
K139,Gangguan Pendengaran / Tuli (Tunarungu),"Desain Visual, Tipografi, CorelDRAW, Adobe Photoshop, Adobe Illustrator","Tunarungu yang sangat terampil dalam bidang desain grafis dengan latar belakang D3 Akuntansi. Menggunakan closed caption dan subtitle otomatis dalam rapat video, serta mengandalkan komunikasi tertulis untuk koordinasi harian. Keahlian Canva dan CorelDRAW telah terbukti dalam pengalaman kerja sebelumnya."
K140,Gangguan Intelektual,"Server Management, MikroTik, Firewall, Cisco, Monitoring Jaringan","Mengalami gangguan intelektual ringan dan bekerja paling efektif pada tugas-tugas yang terstruktur, berulang, dan memiliki instruksi yang jelas. Lulusan S1 Ilmu Komputer dengan dukungan program pendidikan inklusif. Terampil dalam Cisco dan MikroTik untuk bidang jaringan komputer dan infrastruktur IT dan sangat dapat diandalkan dalam menyelesaikan tugas rutin dengan supervisi minimal."
K141,Acquired Brain Injury (ABI),"CorelDRAW, Desain Visual, Branding, Motion Graphics, Tipografi, Adobe Photoshop","Acquired Brain Injury akibat stroke yang telah menjalani rehabilitasi intensif selama 18 bulan. Latar belakang S1 Desain Komunikasi Visual, kini mampu kembali bekerja di bidang desain grafis menggunakan Canva dan CorelDRAW. Membutuhkan lingkungan kerja dengan tempo yang fleksibel, tugas yang dipecah menjadi langkah-langkah kecil, dan tidak ada tekanan multitasking berlebihan."
K142,Gangguan Spektrum Autisme,"Komunikasi, Empati, Zendesk","Autisme spektrum level 1 dengan keunggulan dalam pemikiran sistematis dan konsistensi kerja di bidang layanan pelanggan. Lulusan S1 Bahasa Inggris, sangat produktif menggunakan platform live chat dan helpdesk dalam tugas-tugas yang membutuhkan presisi tinggi. Membutuhkan lingkungan kerja yang tidak terlalu padat secara sosial dan memiliki struktur yang jelas."
K143,Gangguan Daksa Kaki,"Google Workspace, Administrasi Perkantoran, Surat Menyurat, Notulensi, Microsoft Office","Mengalami kelumpuhan kaki akibat polio dan menggunakan kursi roda listrik untuk mobilitas. Lulusan D3 Akuntansi, sangat kompeten dalam sistem pengarsipan digital untuk pekerjaan administrasi perkantoran. Bekerja paling efektif di kantor dengan fasilitas aksesibel atau secara remote penuh."
K144,Gangguan Daksa Tangan,"Firewall, OWASP, Ethical Hacking, Nmap","Mengalami keterbatasan fungsi pada kedua tangan namun telah beradaptasi menggunakan keyboard ergonomis, software voice-to-text, dan perangkat bantu khusus untuk bekerja di bidang jaringan komputer dan infrastruktur IT. Lulusan S1 Teknik Komputer, terampil dalam Cisco dan MikroTik. Efektivitas kerja tidak berkurang dengan dukungan teknologi asistif yang tepat."
K145,Gangguan Intelektual,"R, Data Cleaning, Excel","Gangguan intelektual ringan yang tidak menghalangi kontribusi nyata di bidang analisis data dan business intelligence. Lulusan S1 Sistem Informasi dengan fokus pada keterampilan praktis. Membutuhkan panduan kerja yang jelas, umpan balik rutin, dan lingkungan yang tidak berubah-ubah untuk memaksimalkan performa."
K146,Gangguan Daksa Tangan,"Hubungan Industrial, Payroll, Rekrutmen, HRIS, Pelatihan SDM","Mengalami keterbatasan fungsi pada kedua tangan namun telah beradaptasi menggunakan keyboard ergonomis, software voice-to-text, dan perangkat bantu khusus untuk bekerja di bidang manajemen sumber daya manusia. Lulusan S1 Hubungan Internasional, terampil dalam software HRIS. Efektivitas kerja tidak berkurang dengan dukungan teknologi asistif yang tepat."
K147,Gangguan Penglihatan (Tunanetra),"Android, Kotlin, React Native, Firebase, Flutter, Dart","Tunanetra bawaan yang berpengalaman di bidang pengembangan aplikasi mobile menggunakan teknologi asistif seperti NVDA dan display braille. Lulusan S1 Matematika (konsentrasi komputasi), terbiasa menggunakan Firebase dan SQLite melalui shortcut keyboard tanpa ketergantungan pada tampilan visual. Cocok bekerja secara remote maupun di kantor yang mendukung aksesibilitas digital."
K148,Gangguan Daksa Kaki,"Prototyping, InVision, Sketch, Design System, Wireframing, Canva","Mengalami kelumpuhan kaki akibat polio dan menggunakan kursi roda listrik untuk mobilitas. Lulusan S1 Matematika (konsentrasi komputasi), sangat kompeten dalam Figma dan Prototyping Tools untuk pekerjaan desain antarmuka pengguna. Bekerja paling efektif di kantor dengan fasilitas aksesibel atau secara remote penuh."
K149,Acquired Brain Injury (ABI),"Google Classroom, Zoom, Moodle, Microsoft Teams","Acquired Brain Injury akibat stroke yang telah menjalani rehabilitasi intensif selama 18 bulan. Latar belakang S1 Psikologi, kini mampu kembali bekerja di bidang pendidikan dan pelatihan menggunakan platform e-learning. Membutuhkan lingkungan kerja dengan tempo yang fleksibel, tugas yang dipecah menjadi langkah-langkah kecil, dan tidak ada tekanan multitasking berlebihan."
K150,Acquired Brain Injury (ABI),"Kriptografi, Nmap, Metasploit, SIEM, ISO 27001, OWASP","Penyandang ABI pasca operasi tumor otak yang mengalami pemulihan signifikan. Lulusan S1 Sistem Informasi, kompeten dalam framework ISO 27001 dan OWASP untuk bidang keamanan siber dengan adaptasi penggunaan reminder dan checklist digital. Sangat cocok untuk posisi yang memiliki struktur kerja jelas dan tidak memerlukan respons instan dalam situasi darurat."
K151,Gangguan Daksa Kaki,"Firewall, Cisco, Linux","Gangguan daksa kaki (amputasi di bawah lutut) yang diatasi dengan penggunaan kaki prostetik berteknologi modern. Latar belakang S1 Teknik Komputer, menguasai Cisco dan MikroTik untuk bidang jaringan komputer dan infrastruktur IT. Mampu bekerja di kantor dengan akses aksesibel maupun dari rumah tanpa perbedaan produktivitas."
K152,Gangguan Pendengaran / Tuli (Tunarungu),"Supply Chain, WMS, Manajemen Gudang, ERP, Perencanaan Distribusi, Microsoft Excel","Tunarungu total sejak lahir dan berkomunikasi menggunakan Bahasa Isyarat Indonesia (BISINDO) serta teks tertulis. Lulusan S1 Manajemen yang sangat terampil dalam software entri data perusahaan untuk pekerjaan entri data dan pengelolaan database. Pekerjaan berbasis teks, email, dan platform pesan sangat sesuai; membutuhkan interpreter BISINDO untuk rapat formal jika diperlukan."
K153,Acquired Brain Injury (ABI),"Penetration Testing, Ethical Hacking, Metasploit, SIEM","Cedera otak yang diperoleh akibat infeksi meningitis yang memengaruhi kecepatan pemrosesan informasi. Latar belakang D3 Manajemen Informatika, terampil dalam tools penetration testing dan SIEM untuk bidang keamanan siber. Membutuhkan lebih banyak waktu untuk menyelesaikan tugas kompleks, namun menghasilkan output yang akurat dan berkualitas tinggi."
K154,Gangguan Daksa Kaki,"Kriptografi, ISO 27001, Metasploit, Firewall","Menggunakan kursi roda untuk mobilitas sehari-hari namun bekerja penuh di bidang jaringan komputer dan infrastruktur IT tanpa hambatan fungsional. Lulusan S1 Ilmu Komputer yang menguasai Cisco dan MikroTik. Membutuhkan akses ramp, lift, dan toilet ramah disabilitas di lingkungan kerja fisik; sangat cocok juga untuk kerja remote."
K155,Gangguan Bicara (Tunawicara),"WMS, Microsoft Excel, ERP, Manajemen Gudang","Penyandang tunawicara yang mengandalkan komunikasi tertulis digital untuk seluruh koordinasi kerja. Latar belakang D3 Sekretaris, ahli dalam Microsoft Excel dan Google Sheets untuk bidang entri data dan pengelolaan database. Sangat produktif dalam lingkungan remote maupun kantor yang mengutamakan komunikasi asinkron melalui platform digital."
K156,Gangguan Bicara (Tunawicara),"Canva, Tipografi, Adobe Photoshop, Motion Graphics, Desain Visual","Gangguan wicara (gagap berat) yang tidak memengaruhi kemampuan kognitif dan teknis di bidang desain antarmuka pengguna. Lulusan S1 Akuntansi yang terampil dalam Figma dan Adobe XD. Mampu bekerja secara mandiri dan berkolaborasi efektif dalam tim melalui komunikasi tertulis seperti Slack, email, dan dokumen bersama."
K157,Acquired Brain Injury (ABI),"Spreadsheet, Google Sheets, Pengetikan Cepat, Microsoft Word, Ketelitian Data","Penyandang ABI pasca operasi tumor otak yang mengalami pemulihan signifikan. Lulusan S1 Bahasa Inggris, kompeten dalam software entri data perusahaan untuk bidang entri data dan pengelolaan database dengan adaptasi penggunaan reminder dan checklist digital. Sangat cocok untuk posisi yang memiliki struktur kerja jelas dan tidak memerlukan respons instan dalam situasi darurat."
K158,Gangguan Pendengaran / Tuli (Tunarungu),"Kubernetes, GCP, Docker, Jenkins, AWS, Terraform",Penyandang tunarungu dengan kemampuan membaca gerak bibir yang sangat baik dan menggunakan alat bantu dengar untuk situasi tertentu. Lulusan S1 Teknik Informatika yang berpengalaman di bidang pengembangan backend dan arsitektur sistem. Sangat produktif dalam lingkungan kerja yang tidak bergantung pada komunikasi verbal intensif dan mendukung penggunaan Spring Boot dan Java.
K159,Gangguan Spektrum Autisme,"Rekrutmen, Manajemen Kinerja, Payroll, Hubungan Industrial, Pelatihan SDM","Penyandang GSA yang telah berkarir sukses di bidang manajemen sumber daya manusia berkat kemampuan analitis yang kuat dan dedikasi terhadap akurasi. Latar belakang S1 Psikologi, menguasai platform rekrutmen digital. Bekerja paling efektif dengan panduan tugas tertulis yang detail dan feedback yang langsung serta spesifik."
K160,Gangguan Mental / Psikososial,"Google Classroom, Manajemen Kelas, Pengajaran, Zoom","Penyandang PTSD pasca kerja yang kini telah pulih dan aktif di bidang pendidikan dan pelatihan. Lulusan S1 Marketing, terampil menggunakan platform e-learning. Bekerja paling baik dalam tim yang suportif dengan komunikasi yang terbuka dan tidak ada budaya blame."
K161,Gangguan Daksa Kaki,"SDL Trados, Bahasa Jepang, Proofreading, Lokalisasi","Menggunakan kursi roda untuk mobilitas sehari-hari namun bekerja penuh di bidang penerjemahan dan lokalisasi tanpa hambatan fungsional. Lulusan S1 Manajemen yang menguasai platform penerjemahan profesional. Membutuhkan akses ramp, lift, dan toilet ramah disabilitas di lingkungan kerja fisik; sangat cocok juga untuk kerja remote."
K162,Gangguan Penglihatan (Tunanetra),"Git, HTML, TypeScript",Penyandang low vision yang menggunakan ZoomText dan pengaturan kontras tinggi pada monitor berukuran besar untuk bekerja di bidang pengembangan web. Lulusan S2 Ilmu Komputer dengan keahlian Laravel dan MySQL yang terverifikasi. Membutuhkan monitor minimal 27 inci dan software pembesaran layar yang terinstal di workstation.
K163,Gangguan Intelektual,"Kurikulum, Microsoft Teams, Zoom, Google Classroom, E-Learning, Pengajaran",Individu dengan gangguan intelektual ringan yang telah berhasil bekerja di beberapa posisi entry-level di bidang pendidikan dan pelatihan. Memiliki ketelitian tinggi pada tugas rutin dan terampil menggunakan platform e-learning untuk pekerjaan dasar. Membutuhkan supervisi berkala dan instruksi bertahap yang mudah dipahami.
K164,Gangguan Penglihatan (Tunanetra),"Figma, User Research, Design System, Canva, Wireframing, Prototyping","Mengalami gangguan penglihatan total sejak lahir dan telah mengembangkan keahlian profesional di bidang desain antarmuka pengguna menggunakan JAWS, display braille, dan braille note taker. Lulus dari D3 Teknik Informatika dengan dukungan teknologi asistif penuh. Mampu bekerja mandiri dan hanya membutuhkan lingkungan kerja yang kompatibel dengan screen reader."
K165,Gangguan Pendengaran / Tuli (Tunarungu),"Firewall, Metasploit, ISO 27001, SIEM, Kriptografi",Penyandang tunarungu dengan kemampuan membaca gerak bibir yang sangat baik dan menggunakan alat bantu dengar untuk situasi tertentu. Lulusan S1 Teknik Komputer yang berpengalaman di bidang jaringan komputer dan infrastruktur IT. Sangat produktif dalam lingkungan kerja yang tidak bergantung pada komunikasi verbal intensif dan mendukung penggunaan Cisco dan MikroTik.
K166,Gangguan Daksa Kaki,"Testing Manual, Test Case, Cypress","Penyandang tunadaksa kaki dengan kaki prostetik yang memungkinkan mobilitas mandiri. Latar belakang D4 Rekayasa Perangkat Lunak, terampil dalam Cypress dan Katalon untuk bidang quality assurance dan pengujian perangkat lunak. Membutuhkan akses parkir khusus disabilitas dan jalur yang rata atau berslope di gedung kantor."
K167,Gangguan Penglihatan (Tunanetra),"Google Classroom, Microsoft Teams, Zoom, Moodle, Kurikulum, E-Learning",Lulusan S1 Akuntansi yang bekerja sepenuhnya menggunakan screen reader NVDA dan JAWS untuk mengoperasikan komputer dalam pekerjaan pendidikan dan pelatihan. Sangat terampil dalam platform e-learning yang diakses melalui antarmuka berbasis keyboard dan teknologi bantu. Membutuhkan perangkat lunak aksesibilitas yang terpasang di workstation dan dokumentasi yang tersedia dalam format digital yang dapat dibaca screen reader.
K168,Gangguan Daksa Kaki,"Copywriting, Instagram, WordPress, YouTube","Penyandang tunadaksa kaki dengan kaki prostetik yang memungkinkan mobilitas mandiri. Latar belakang S1 Hubungan Internasional, terampil dalam tools SEO dan analitik media sosial untuk bidang pemasaran digital. Membutuhkan akses parkir khusus disabilitas dan jalur yang rata atau berslope di gedung kantor."
K169,Gangguan Penglihatan (Tunanetra),"MYOB, SAP, Rekonsiliasi Bank, Accurate",Penyandang low vision yang menggunakan ZoomText dan pengaturan kontras tinggi pada monitor berukuran besar untuk bekerja di bidang entri data dan pengelolaan database. Lulusan D3 Akuntansi dengan keahlian Microsoft Excel dan Google Sheets yang terverifikasi. Membutuhkan monitor minimal 27 inci dan software pembesaran layar yang terinstal di workstation.
K170,Acquired Brain Injury (ABI),"MySQL, Git, Node.js","ABI yang memengaruhi fungsi eksekutif seperti perencanaan dan multitasking. Lulusan S1 Teknik Komputer, menggunakan aplikasi manajemen tugas (Notion, Trello) dan reminder otomatis untuk mendukung produktivitas di bidang pengembangan web. Sangat terampil dalam React dan Node.js dan bekerja terbaik dengan tugas yang terstruktur dan tenggat yang jelas."
K171,Gangguan Bicara (Tunawicara),"Vue.js, Bootstrap, JavaScript, Node.js, CSS","Mengalami gangguan bicara berat namun sangat komunikatif melalui tulisan, pesan teks, dan email. Lulusan S1 Teknik Informatika yang berpengalaman di bidang pengembangan web menggunakan Vue.js dan REST API. Pekerjaan berbasis teks sangat cocok; dapat berpartisipasi dalam rapat menggunakan fitur chat atau menggunakan aplikasi text-to-speech bila diperlukan."
K172,Gangguan Daksa Tangan,"Copywriting, Email Marketing, Content Creation, Analitik Media Sosial","Penyandang gangguan daksa tangan kanan yang telah mengembangkan adaptasi bekerja menggunakan tangan kiri yang dominan dan perangkat bantu ergonomis. Latar belakang S1 Manajemen, kompeten dalam Google Ads dan Meta Ads untuk bidang pemasaran digital. Membutuhkan setup meja kerja yang fleksibel dan mouse yang dapat disesuaikan."
K173,Gangguan Bicara (Tunawicara),"AWS, GCP, Docker, Jenkins, Ansible, Kubernetes","Penyandang gangguan bicara yang sangat terampil dalam bidang pengembangan backend dan arsitektur sistem. Lulusan S2 Ilmu Komputer, menguasai Docker dan Kubernetes dan telah bekerja profesional di beberapa organisasi. Komunikasi kerja dilakukan sepenuhnya melalui tulisan dan media digital tanpa kendala produktivitas."
K174,Gangguan Daksa Tangan,"SEO Writing, CapCut, WordPress","Penyandang gangguan daksa tangan kanan yang telah mengembangkan adaptasi bekerja menggunakan tangan kiri yang dominan dan perangkat bantu ergonomis. Latar belakang S1 Bahasa Inggris, kompeten dalam CapCut dan platform media sosial untuk bidang pembuatan konten digital. Membutuhkan setup meja kerja yang fleksibel dan mouse yang dapat disesuaikan."
K175,Gangguan Pendengaran / Tuli (Tunarungu),"ISO 27001, OWASP, Nmap, Penetration Testing","Tunarungu total sejak lahir dan berkomunikasi menggunakan Bahasa Isyarat Indonesia (BISINDO) serta teks tertulis. Lulusan S1 Teknik Elektro yang sangat terampil dalam tools penetration testing dan SIEM untuk pekerjaan keamanan siber. Pekerjaan berbasis teks, email, dan platform pesan sangat sesuai; membutuhkan interpreter BISINDO untuk rapat formal jika diperlukan."
K176,Gangguan Mental / Psikososial,"Manajemen Jadwal, Microsoft Office, Administrasi Perkantoran, Pengarsipan, Notulensi, Google Workspace","Memiliki riwayat gangguan kecemasan (anxiety disorder) yang telah terkelola dengan baik melalui terapi dan pengobatan rutin. Lulusan S1 Marketing yang berpengalaman di bidang administrasi perkantoran menggunakan Microsoft Office dan Google Workspace. Bekerja paling optimal dalam lingkungan yang memiliki ekspektasi kerja yang jelas, tidak terlalu banyak perubahan mendadak, dan mendukung keseimbangan kerja-hidup."
K177,Acquired Brain Injury (ABI),"HTML, Node.js, React, Vue.js, PHP","Acquired Brain Injury akibat stroke yang telah menjalani rehabilitasi intensif selama 18 bulan. Latar belakang S1 Matematika (konsentrasi komputasi), kini mampu kembali bekerja di bidang pengembangan web menggunakan HTML/CSS dan JavaScript. Membutuhkan lingkungan kerja dengan tempo yang fleksibel, tugas yang dipecah menjadi langkah-langkah kecil, dan tidak ada tekanan multitasking berlebihan."
K178,Gangguan Bicara (Tunawicara),"CSS, TypeScript, React, Laravel, Node.js, REST API",Tunawicara yang berkomunikasi menggunakan text-to-speech dan teks tertulis. Latar belakang D4 Rekayasa Perangkat Lunak dengan keahlian mendalam dalam Vue.js dan REST API untuk bidang pengembangan web. Lebih efektif dalam lingkungan kerja yang tidak mensyaratkan presentasi verbal tatap muka secara intensif.
K179,Gangguan Bicara (Tunawicara),"Notulensi, Administrasi Perkantoran, Pengarsipan, Microsoft Office","Gangguan wicara (gagap berat) yang tidak memengaruhi kemampuan kognitif dan teknis di bidang administrasi perkantoran. Lulusan S1 Akuntansi yang terampil dalam Microsoft Office dan Google Workspace. Mampu bekerja secara mandiri dan berkolaborasi efektif dalam tim melalui komunikasi tertulis seperti Slack, email, dan dokumen bersama."
K180,Gangguan Penglihatan (Tunanetra),"Analitik Media Sosial, Facebook Ads, Content Creation, Digital Marketing",Penyandang low vision yang menggunakan ZoomText dan pengaturan kontras tinggi pada monitor berukuran besar untuk bekerja di bidang pemasaran digital. Lulusan D3 Administrasi Bisnis dengan keahlian platform email marketing yang terverifikasi. Membutuhkan monitor minimal 27 inci dan software pembesaran layar yang terinstal di workstation.
K181,Gangguan Bicara (Tunawicara),"WMS, Microsoft Excel, ERP","Penyandang gangguan bicara yang sangat terampil dalam bidang entri data dan pengelolaan database. Lulusan S1 Desain Komunikasi Visual, menguasai Microsoft Excel dan Google Sheets dan telah bekerja profesional di beberapa organisasi. Komunikasi kerja dilakukan sepenuhnya melalui tulisan dan media digital tanpa kendala produktivitas."
K182,Gangguan Daksa Tangan,"YouTube, WordPress, Penulisan Konten, CapCut, Copywriting",Gangguan motorik pada tangan yang teratasi dengan penggunaan voice recognition (Dragon NaturallySpeaking) dan mouse trackball. Lulusan S1 Psikologi yang berpengalaman di bidang pemasaran digital. Sangat produktif menggunakan Google Ads dan Meta Ads dan membutuhkan workstation dengan setup ergonomis yang mendukung.
K183,Gangguan Spektrum Autisme,"WMS, Microsoft Excel, ERP, SAP WM, Inventory","Penyandang GSA yang telah berkarir sukses di bidang entri data dan pengelolaan database berkat kemampuan analitis yang kuat dan dedikasi terhadap akurasi. Latar belakang S1 Bahasa Inggris, menguasai software entri data perusahaan. Bekerja paling efektif dengan panduan tugas tertulis yang detail dan feedback yang langsung serta spesifik."
K184,Gangguan Daksa Kaki,"FastAPI, Django, Kubernetes",Pengguna kursi roda akibat cedera tulang belakang yang tetap aktif berkarir di bidang pengembangan backend dan arsitektur sistem. Lulusan S1 Teknik Informatika yang sangat terampil dalam FastAPI dan Redis. Memerlukan meja kerja adjustable height dan jalur aksesibel di seluruh area kantor untuk mobilitas optimal.
K185,Gangguan Intelektual,"Accurate, Jurnal Keuangan, Audit Internal","Penyandang gangguan intelektual ringan yang mampu menjalankan pekerjaan operasional secara mandiri setelah masa orientasi. Latar belakang D3 Administrasi Bisnis, menguasai dasar-dasar Microsoft Excel dan Google Sheets. Bekerja paling baik dalam lingkungan kerja yang konsisten, suportif, dan memiliki prosedur kerja yang terdokumentasi dengan baik."
K186,Gangguan Daksa Kaki,"Git, REST API, PHP, JavaScript, TypeScript, Laravel",Pengguna kursi roda akibat cedera tulang belakang yang tetap aktif berkarir di bidang pengembangan web. Lulusan S1 Sistem Informasi yang sangat terampil dalam Laravel dan MySQL. Memerlukan meja kerja adjustable height dan jalur aksesibel di seluruh area kantor untuk mobilitas optimal.
K187,Gangguan Pendengaran / Tuli (Tunarungu),"CRM, Zendesk, Live Chat","Gangguan pendengaran total yang diatasi dengan penggunaan BISINDO dan teks digital. Latar belakang S1 Hubungan Internasional, sangat kompeten dalam Freshdesk dan Zendesk untuk bidang layanan pelanggan. Lebih menyukai komunikasi via Slack, email, atau dokumen tertulis dan dapat berkontribusi penuh dalam tim yang inklusif."
K188,Gangguan Intelektual,"OWASP, Metasploit, Penetration Testing","Gangguan intelektual ringan yang tidak menghalangi kontribusi nyata di bidang keamanan siber. Lulusan D4 Rekayasa Perangkat Lunak dengan fokus pada keterampilan praktis. Membutuhkan panduan kerja yang jelas, umpan balik rutin, dan lingkungan yang tidak berubah-ubah untuk memaksimalkan performa."
K189,Gangguan Mental / Psikososial,"React, Vue.js, PHP, Node.js, HTML, JavaScript","Memiliki kondisi bipolar tipe II yang telah stabil dengan pengobatan. Lulusan D4 Rekayasa Perangkat Lunak, sangat produktif dalam periode stabil untuk pekerjaan pengembangan web. Terampil dalam Vue.js dan REST API dan bekerja paling baik dengan kebijakan kerja fleksibel yang mengakomodasi kebutuhan manajemen kondisi kesehatan."
K190,Gangguan Bicara (Tunawicara),"Instagram, YouTube, WordPress, Penulisan Konten","Gangguan wicara (gagap berat) yang tidak memengaruhi kemampuan kognitif dan teknis di bidang pembuatan konten digital. Lulusan S1 Bahasa Inggris yang terampil dalam CapCut dan platform media sosial. Mampu bekerja secara mandiri dan berkolaborasi efektif dalam tim melalui komunikasi tertulis seperti Slack, email, dan dokumen bersama."
K191,Gangguan Bicara (Tunawicara),"Microsoft Excel, WMS, Inventory, Manajemen Gudang, SAP WM","Mengalami gangguan bicara berat namun sangat komunikatif melalui tulisan, pesan teks, dan email. Lulusan S1 Marketing yang berpengalaman di bidang entri data dan pengelolaan database menggunakan software entri data perusahaan. Pekerjaan berbasis teks sangat cocok; dapat berpartisipasi dalam rapat menggunakan fitur chat atau menggunakan aplikasi text-to-speech bila diperlukan."
K192,Gangguan Mental / Psikososial,"Notulensi, Pengarsipan, Administrasi Perkantoran","Memiliki kondisi bipolar tipe II yang telah stabil dengan pengobatan. Lulusan S1 Ekonomi, sangat produktif dalam periode stabil untuk pekerjaan administrasi perkantoran. Terampil dalam Microsoft Office dan Google Workspace dan bekerja paling baik dengan kebijakan kerja fleksibel yang mengakomodasi kebutuhan manajemen kondisi kesehatan."
K193,Gangguan Daksa Kaki,"Vue.js, Git, Bootstrap, Laravel","Menggunakan kursi roda untuk mobilitas sehari-hari namun bekerja penuh di bidang pengembangan web tanpa hambatan fungsional. Lulusan S1 Matematika (konsentrasi komputasi) yang menguasai Laravel dan MySQL. Membutuhkan akses ramp, lift, dan toilet ramah disabilitas di lingkungan kerja fisik; sangat cocok juga untuk kerja remote."
K194,Gangguan Mental / Psikososial,"Accurate, Microsoft Word, Microsoft Excel","Memiliki kondisi bipolar tipe II yang telah stabil dengan pengobatan. Lulusan S1 Desain Komunikasi Visual, sangat produktif dalam periode stabil untuk pekerjaan entri data dan pengelolaan database. Terampil dalam Microsoft Excel dan Google Sheets dan bekerja paling baik dengan kebijakan kerja fleksibel yang mengakomodasi kebutuhan manajemen kondisi kesehatan."
K195,Gangguan Daksa Tangan,"Redis, Python, Docker","Penyandang gangguan daksa pada tangan kiri akibat kecelakaan dan kini bekerja penuh menggunakan satu tangan dengan keyboard adaptif. Latar belakang S1 Teknik Komputer, ahli dalam R dan Excel untuk bidang analisis data dan business intelligence. Tidak memerlukan asisten khusus, hanya butuh workstation ergonomis yang dapat disesuaikan."
K196,Gangguan Pendengaran / Tuli (Tunarungu),"Kubernetes, GCP, Linux","Tunarungu yang sangat terampil dalam bidang pengembangan backend dan arsitektur sistem dengan latar belakang S1 Teknik Informatika. Menggunakan closed caption dan subtitle otomatis dalam rapat video, serta mengandalkan komunikasi tertulis untuk koordinasi harian. Keahlian Spring Boot dan Java telah terbukti dalam pengalaman kerja sebelumnya."
K197,Gangguan Bicara (Tunawicara),"Empati, Live Chat, Zendesk","Mengalami gangguan bicara berat namun sangat komunikatif melalui tulisan, pesan teks, dan email. Lulusan D3 Administrasi Bisnis yang berpengalaman di bidang layanan pelanggan menggunakan Freshdesk dan Zendesk. Pekerjaan berbasis teks sangat cocok; dapat berpartisipasi dalam rapat menggunakan fitur chat atau menggunakan aplikasi text-to-speech bila diperlukan."
K198,Acquired Brain Injury (ABI),"CSS, Node.js, HTML, React","Mengalami cedera otak akibat kecelakaan lalu lintas yang memengaruhi memori jangka pendek, namun kemampuan teknis di bidang pengembangan web tetap terjaga. Lulusan S2 Ilmu Komputer, terampil dalam React dan Node.js. Bekerja menggunakan alat bantu seperti reminder digital, catatan terstruktur, dan aplikasi manajemen tugas untuk mengkompensasi keterbatasan memori."
K199,Gangguan Pendengaran / Tuli (Tunarungu),"Azure, Docker, Terraform, Linux, CI/CD","Tunarungu total sejak lahir dan berkomunikasi menggunakan Bahasa Isyarat Indonesia (BISINDO) serta teks tertulis. Lulusan D3 Teknik Informatika yang sangat terampil dalam Docker dan Kubernetes untuk pekerjaan pengembangan backend dan arsitektur sistem. Pekerjaan berbasis teks, email, dan platform pesan sangat sesuai; membutuhkan interpreter BISINDO untuk rapat formal jika diperlukan."
